
> angular-demo-todo@1.0.0 build D:\Source\Repos\angular-demo-todo
> webpack --env=dev --progress

{ ALLUSERSPROFILE: 'C:\\ProgramData',
  APPDATA: 'C:\\Users\\BZMK0C\\AppData\\Roaming',
  npm_package_devDependencies_ts_node: '3.3.0',
  npm_package_devDependencies_typescript: '2.5.2',
  npm_package_devDependencies_url_loader: '0.5.9',
  npm_package_devDependencies_webpack: '3.5.6',
  npm_package_devDependencies_webpack_chunk_hash: '0.4.0',
  npm_package_devDependencies_webpack_dev_server: '2.7.1',
  npm_package_devDependencies_webpack_merge: '4.1.0',
  npm_package_devDependencies__ngtools_webpack: '1.6.2',
  npm_package_devDependencies__types_jasmine: '2.5.54',
  npm_package_devDependencies__types_node: '8.0.27',
  npm_package_gitHead: 'd24c21bada491494652dc91877a50743af0a1f73',
  npm_package_homepage: 'https://github.com/brittanymoore/angular-demo-todo#readme',
  npm_package_license: 'MIT',
  npm_package_name: 'angular-demo-todo',
  npm_package_readmeFilename: 'README.md',
  npm_package_repository_type: 'git',
  npm_package_repository_url: 'git+https://github.com/brittanymoore/angular-demo-todo.git',
  npm_package_scripts_build: 'webpack --env=dev --progress',
  npm_package_scripts_build_prod: 'npm run clean && webpack --env=prod --progress',
  npm_package_scripts_clean: 'rimraf ./dist',
  npm_package_scripts_lint: 'tslint \'src/**/*.ts\' -c ./config/tslint.json',
  npm_package_scripts_start: 'webpack-dev-server --env=dev --open --no-info',
  npm_package_scripts_start_prod: 'npm run clean --silent && webpack-dev-server --env=prod --open --no-info',
  npm_package_scripts_test: 'karma start ./config/karma.conf.js ',
  npm_package_scripts_test_e2e: 'protractor ./config/protractor.conf.js',
  npm_package_scripts_webdriver_manager: 'webdriver-manager update --standalone false --gecko false',
  npm_package_version: '1.0.0',
  NPM_PREFIX_NPM_CLI_JS: 'C:\\Users\\BZMK0C\\AppData\\Roaming\\npm\\node_modules\\npm\\bin\\npm-cli.js',
  NUMBER_OF_PROCESSORS: '8',
  OS: 'Windows_NT',
  Path: 'C:\\Users\\BZMK0C\\AppData\\Roaming\\npm\\node_modules\\npm\\bin\\node-gyp-bin;D:\\Source\\Repos\\angular-demo-todo\\node_modules\\.bin;C:\\Program Files\\Common Files\\Microsoft Shared\\Microsoft Online Services;C:\\Program Files (x86)\\Common Files\\Microsoft Shared\\Microsoft Online Services;C:\\Program Files (x86)\\Intel\\iCLS Client\\;C:\\Program Files\\Intel\\iCLS Client\\;C:\\WINDOWS\\system32;C:\\WINDOWS;C:\\WINDOWS\\System32\\Wbem;C:\\WINDOWS\\System32\\WindowsPowerShell\\v1.0\\;C:\\Program Files (x86)\\Windows Kits\\8.1\\Windows Performance Toolkit\\;C:\\Program Files\\Intel\\Intel(R) Management Engine Components\\DAL;C:\\Program Files\\Intel\\Intel(R) Management Engine Components\\IPT;C:\\Program Files (x86)\\Intel\\Intel(R) Management Engine Components\\DAL;C:\\Program Files (x86)\\Intel\\Intel(R) Management Engine Components\\IPT;C:\\Program Files\\Microsoft SQL Server\\110\\Tools\\Binn\\;C:\\Program Files\\Microsoft SQL Server\\120\\Tools\\Binn\\;C:\\Program Files\\Microsoft DNX\\Dnvm\\;C:\\Program Files\\Microsoft SQL Server\\130\\Tools\\Binn\\;C:\\Program Files\\Microsoft SQL Server\\Client SDK\\ODBC\\110\\Tools\\Binn\\;C:\\Program Files (x86)\\Microsoft SQL Server\\120\\Tools\\Binn\\;C:\\Program Files\\Microsoft SQL Server\\120\\DTS\\Binn\\;C:\\Program Files\\Git\\cmd;C:\\Program Files\\1E\\NomadBranch\\;C:\\Program Files\\nodejs\\;C:\\Program Files\\Microsoft\\Web Platform Installer\\;C:\\Users\\BZMK0C\\AppData\\Roaming\\npm;C:\\Program Files (x86)\\Microsoft VS Code\\bin',
  PATHEXT: '.COM;.EXE;.BAT;.CMD;.VBS;.VBE;.JSE;.WSF;.WSH;.MSC',
  PROCESSOR_ARCHITECTURE: 'AMD64',
  PROCESSOR_IDENTIFIER: 'Intel64 Family 6 Model 60 Stepping 3, GenuineIntel',
  PROCESSOR_LEVEL: '6',
  PROCESSOR_REVISION: '3c03',
  ProgramData: 'C:\\ProgramData',
  ProgramFiles: 'C:\\Program Files',
  'ProgramFiles(x86)': 'C:\\Program Files (x86)',
  ProgramW6432: 'C:\\Program Files',
  PROMPT: '$P$G',
  PSModulePath: 'C:\\WINDOWS\\system32\\WindowsPowerShell\\v1.0\\Modules\\;C:\\Program Files\\Microsoft Application Virtualization\\Client\\;C:\\Program Files\\Microsoft User Experience Virtualization\\Modules\\;C:\\Program Files (x86)\\Microsoft SQL Server\\120\\Tools\\PowerShell\\Modules\\',
  PUBLIC: 'C:\\Users\\Public',
  SESSIONNAME: 'Console',
  SystemDrive: 'C:',
  SystemRoot: 'C:\\WINDOWS',
  TEMP: 'C:\\Users\\BZMK0C\\AppData\\Local\\Temp',
  TERM_PROGRAM: 'vscode',
  TERM_PROGRAM_VERSION: '1.17.2',
  TMP: 'C:\\Users\\BZMK0C\\AppData\\Local\\Temp',
  UATDATA: 'C:\\WINDOWS\\CCM\\UATData\\D9F8C395-CAB8-491d-B8AC-179A1FE1BE77',
  USERDNSDOMAIN: 'nam.corp.gm.com',
  USERDOMAIN: 'NAM',
  USERDOMAIN_ROAMINGPROFILE: 'NAM',
  USERNAME: 'BZMK0C',
  USERPROFILE: 'C:\\Users\\BZMK0C',
  VS110COMNTOOLS: 'C:\\Program Files (x86)\\Microsoft Visual Studio 11.0\\Common7\\Tools\\',
  VS120COMNTOOLS: 'C:\\Program Files (x86)\\Microsoft Visual Studio 12.0\\Common7\\Tools\\',
  VS140COMNTOOLS: 'C:\\Program Files (x86)\\Microsoft Visual Studio 14.0\\Common7\\Tools\\',
  VSCODE_CWD: 'C:\\Program Files (x86)\\Microsoft VS Code',
  VSCODE_IPC_HOOK: '\\\\.\\pipe\\4393bf8f569ba469c1423aeab75489d0-1.17.2-main-sock',
  VSCODE_NLS_CONFIG: '{"locale":"en-us","availableLanguages":{}}',
  VSCODE_NODE_CACHED_DATA_DIR_7844: 'C:\\Users\\BZMK0C\\AppData\\Roaming\\Code\\CachedData\\b813d12980308015bcd2b3a2f6efa5c810c33ba5',
  VSCODE_PID: '7844',
  VSEDEFLOGDIR: 'C:\\ProgramData\\McAfee\\DesktopProtection',
  windir: 'C:\\WINDOWS',
  windows_tracing_flags: '3',
  windows_tracing_logfile: 'C:\\BVTBin\\Tests\\installpackage\\csilogfile.log' }
Hash: b707bdcdaf9db943cef0
Version: webpack 3.5.6
Time: 9543ms
                                                  Asset       Size  Chunks                    Chunk Names
  assets/MaterialIcons-Regular.e79bfd88537def476913.eot     143 kB          [emitted]         
assets/MaterialIcons-Regular.570eb83859dc23dd0eec.woff2    44.3 kB          [emitted]         
 assets/MaterialIcons-Regular.012cf6a10129e2275d79.woff    57.6 kB          [emitted]         
  assets/MaterialIcons-Regular.a37b0c01c0baf1888ca8.ttf     128 kB          [emitted]         
                                     polyfill.bundle.js     424 kB       0  [emitted]  [big]  polyfill
                                         main.bundle.js    2.78 MB       1  [emitted]  [big]  main
                                       vendor.bundle.js    3.63 kB       2  [emitted]         vendor
                                               main.css   62 bytes       1  [emitted]         main
                                             vendor.css  775 bytes       2  [emitted]         vendor
                                             index.html  656 bytes          [emitted]         
